City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,port elizabeth,-33.918,25.5701,22.83,68,0,4.12,ZA,1691407193
136,dongkan,33.9997,119.8308,22.66,86,3,2.68,CN,1691406952
137,sandnessjoen,66.0217,12.6316,13.29,88,75,5.66,NO,1691407194
138,punta arenas,-53.15,-70.9167,1.01,83,99,3.39,CL,1691407194
139,keflavik,64.0049,-22.5624,13.24,82,75,3.09,IS,1691407194
140,santa cruz,-17.8,-63.1667,22.03,88,40,4.12,BO,1691407005
141,ketchikan,55.3422,-131.6461,17.26,88,100,3.09,US,1691407194
142,al jubayl,27.0112,49.6583,38.16,41,3,5.06,SA,1691407195
143,esikhaleni,-28.871,31.8996,22.19,69,28,5.94,ZA,1691407079
144,mahdia,35.5047,11.0622,28.97,40,0,7.38,TN,1691407195
145,anadyr,64.75,177.4833,11.28,93,100,5.0,RU,1691406942
146,annau,37.8876,58.516,37.72,17,0,5.14,TM,1691407196
147,sidi khaled,34.387,4.9879,36.11,15,0,1.1,DZ,1691407196
148,antsiranana,-12.2787,49.2917,27.67,53,2,9.41,MG,1691407197
149,mermoz boabab,14.7065,-17.4758,28.31,80,99,5.82,SN,1691407197
150,severo-yeniseyskiy,60.3725,93.0408,16.2,69,82,2.78,RU,1691407197
151,ancud,-41.8697,-73.8203,4.13,91,76,3.52,CL,1691406935
152,ciudad lazaro cardenas,17.9583,-102.2,25.82,78,78,2.16,MX,1691407198
153,kalymnos,36.95,26.9833,29.74,61,0,4.12,GR,1691407198
154,moyynkum,44.2914,72.9469,33.35,22,76,2.86,KZ,1691407198
155,margate,51.3813,1.3862,20.39,57,2,4.02,GB,1691407199
156,port saint john's,-31.6229,29.5448,21.86,68,55,3.28,ZA,1691407199
157,kapuskasing,49.4169,-82.4331,15.05,100,75,1.03,CA,1691407199
158,mirnyy,62.5353,113.9611,21.87,57,87,3.45,RU,1691406930
159,al wajh,26.2455,36.4525,33.97,55,0,5.14,SA,1691406931
160,smidovich,48.6,133.8167,19.8,52,78,3.7,RU,1691407200
161,guayaramerin,-10.8368,-65.3614,22.53,63,13,1.01,BO,1691407054
162,crane,31.3974,-102.3501,26.25,55,1,7.6,US,1691407200
163,kourou,5.1552,-52.6478,25.03,87,39,3.2,GF,1691407087
164,jaguarao,-32.5661,-53.3758,10.51,79,99,5.27,BR,1691407046
165,port lincoln,-34.7333,135.8667,10.96,68,50,3.39,AU,1691407201
166,baruun-urt,46.6806,113.2792,19.11,76,59,6.82,MN,1691407202
167,roshchino,60.2519,29.6085,30.52,42,1,6.35,RU,1691407202
168,guerrero negro,27.9769,-114.0611,26.02,62,2,2.19,MX,1691407203
169,altai,46.3722,96.2583,22.78,20,84,2.45,MN,1691407006
170,utrik,11.2278,169.8474,28.54,75,100,8.18,MH,1691407204
171,jinchang,38.4953,102.1739,33.47,15,11,5.47,CN,1691406949
172,itoman,26.1247,127.6694,27.43,91,75,11.32,JP,1691407199
173,bayanaul,50.7889,75.6956,24.15,51,62,3.4,KZ,1691407205
174,tenenkou,14.4572,-4.9169,31.22,49,95,5.8,ML,1691407205
175,alief,29.7111,-95.5963,28.88,86,0,3.6,US,1691407206
176,mana,5.6592,-53.7767,25.56,85,46,4.13,GF,1691407206
177,jumla,29.2747,82.1838,20.87,88,99,1.89,NP,1691407207
